file_name,english,banjara,notes
maharastra_mai_eer_deccan_ilaka_thi_leethanin.wav,"Through the Deccan region of Maharashtra.","maharastra mai eer deccan ilaka thi leethanin","eevur-of, maharastra mai eer-inside maharastra, deccan ilaka-deccan region, thi-from,  leethanin-took"
baap_eer_naam_bheema_naik_ramavath_rathod.wav,"Father: Bheema Naik Ramawat Rathod.","Baap eer naam","Bheema Naik Ramavath Rathod,Baap-father, eer-of, naam-name, Bheema Naik Ramavath Rathod - Bheema Naik Ramavath Rathod"
an_ghao_thi_puri_banayo.wav,"He prepared puri from wheat.","an ghao thi puri banayo","an-and, ghao-wheat, thi-with, puri-puri(dish/indian bread), banayo-prepared"
sant_sevala_maharaj_rajput_eer_veeler_maai_thi_aayoche.wav,"Sant Sevalal Maharaj came from a distinguished Rajput lineage.","Sant sevala maharaj","Rajput eer veeler maai thi aayoche,Sant sevala maharaj-Sant sevala maharaj, Rajput-rajput, eer-of, veel er-family tree/lineage, maai thi-from inside, aayoche-came"
tu_tayar_chi_ge.wav,"Are you ready?","Tu tayar chi ge?","Tu-you, tayar-ready, chi ge - there"
apan_vyapaare_anne_yoddha_vetthe.wav,"We were warriors and traders.","apan vyapaare anne yoddha vetthe","hum-we, anne-and, apan-we, vyapaare-traders/businessman, anne-and, yoddha-warriors, vetthe-were there."
apan_prithviraj_chauhan_eer_senaan_bhi_kai_chavtoi_deethethe.wav,"We supplied provisions to Prithviraj Chauhan's forces.","apan","prithviraj chauhan eer senaan bhi kai chavtoi deethethe,hum-we, een-to, apan-we/us, prithviraj chauhan eer-prithviraj chauhan's, senaan-army/forces, bhi-also, kai chavtoi-what ever is needed/ what ever is wanted, deethethe-used to give."
manne_ek_kilo_chaaval_chavche.wav,"I need 1 kg of rice.","manne ek kilo chaaval chavche","manne-I, ek kilo - 1 KG, chaaval-rice, chavche-want"
me_aaj_jaldi_uutonchu.wav,"I woke up early today.","me aaj jaldi uutonchu","me-i, aaj-today, jaldi-early/fast/quick, uutonchu - woke up/ stand up"
voo_aacho_mannkya_che.wav,"They are good people.","voo aacho mannkya che","voo-they, aacho-good, mannkya-people"
apan_rana_prathap_eer_vasu_daana_an_hatiyaar_leen_jaathe_the.wav,"We transported grain and weapons for Rana Pratap.","apan rana prathap eer vasu daana an hatiyaar leen jaathe the","hum-we, anne-and, apan-we, rana prathap eer-rana prathap's, vasu-for, daana-grains, an-and, hatiyaar-weapons, leen-take/took and, jaathe the- used to go"
mar_yaadi_bimar_cha.wav,"My mother is sick.","mar yaadi bimar cha","mar-my, yaadi-mother, bimar-sick"
keethi_ladai_math_karo.wav,"Don't fight with anyone.","keethi ladai math karo","keethi-anyone, ladai-fight, math-dont, karo-do"
se_gormati_banjara_vun_ram_ram.wav,"Greetings! to all the banjara people.","se gormati banjara vun ram ram","se-all, gormati-banjara, banjara vun-to banjara people, ram ram-greetings/good morning/ good night/ equavalant to namestey"
maar_kan_peesa_cheeni.wav,"I don't have money.","maar kan peesa cheeni","maar-I,  kan-near,  peesa-money, cheeni-dont have"
panan_tameen_puuro_kahani_maalam_chege.wav,"But do you know the complete story?","panan tameen puuro kahani maalam chege?","panan-but, tameen-to you, puuro-full, kahani-story, maalam-know, chege-there/have"
hannu_veejanna_kun_kun_dite_ko_vondun_jannaz_samaj_aavgi.wav,"Those who witnessed this miracle understood immediately.","hannu veejanna kun kun dite ko vondun jannaz samaj aavgi","hannu-like that, veejanna-happened, kun kun-who all, dite ko-saw, vondun-they, jannaz-than only, samaj-understood, aavgi-came"
dabamele_jendun_hoto_izzat_laayo.wav,"Into this oppression","he brought dignity.","dabamele jendun hoto izzat laayo,ee-this, ee-he, izzat-dignity, dabamele jendun-opressed people, hoto-back, izzat-respect/dignity, laayo-brought"
peena_thi_eez_apneer_pehechan_che.wav,"This is our heritage.","peena thi eez apneer pehechan che","peena thi - from ancient times, eez-this, apneer-our, pehechan che- is identity"
soole_shaatbtheer_ma_mughaleer_aan_rana_pratap_een_haaraye.wav,"In the late 16th century","the Mughal Empire defeated Rana Pratap.","soole shaatbtheer ma, mughaleer aan rana pratap een haaraye,deer-late, soole-16, shaatbtheer-century, ma-in, mughaleer-mughal's, aan-came, rana pratap een - rana pratap, haaraye - defeated"
bagal_sarak.wav,"Move aside.","bagal sarak","bagal-side, sarak-move"
khayero_tayaar_veegoche.wav,"The food is ready.","Khayero tayaar veegoche","Khayero-food/eatables, tayaar-prepared/cooked/processed/ready, veegoche-over/done"
mann_dhankel_math.wav,"Don't push me.","mann dhankel math","mann-me, dhankel-push, math-don't/no"
karnataka_andhra_pradesh_telangana_lugni_nikalyaye.wav,"Finally settling in Karnataka","Andhra Pradesh","and Telangana.,karnataka, andhra pradesh, telangana lugni nikalyaye,anne-and, karnataka-karnataka, andhra pradesh-andhra pradesh, telangana-telangana, lugni-till, nikalyaye-came from there"
vu_bhagvaneero_amsh_che_keen.wav,"This was a divine incarnation.","Vu bhagvaneero amsh che keen","Vu-he/that, bhagvaneero-of god, amsh-part, che keen-exist/is there"
jammine_baar.wav,"Sweep the floor.","jammine baar","jammine-floor/ground, baar-sweep"
ee_daliya_ghano_aacho_laago.wav,"This food is very tasty.","ee daliya ghano aacho laago.","ee=this, dailya=food, ghano=very, aacho-good, laago-felt."
mootevun_samman_karo.wav,"Respect elders.","mootevun samman karo","mootevun-elders, samman-respect, karo-do"
thu_kai_soochrochi.wav,"What are you thinking.","thu kai soochrochi","thu-you, kai-what, soochrochi-thinking"
ee_aalure_kai_bhaav_che.wav,"How much is this potato?","ee aalure kai bhaav che?","ee-this, aalu re-pototo's, kai-what, bhaav che - rate/price/value"
apner_maharaj_pandre_february_satre_sao_theesan_nav_eermai_janmotho.wav,"Our Maharaj was born on 15 February 1739.","apner maharaj","pandre february satre sao theesan nav eermai janmotho.,apner-our maharaj-maharaj, pandre-fifteen, february-february, satre-seventeen, sao-hundred, thee san nav - thirty and nine, eermai-in janmotho-was born"
phool_bhi_chey.wav,"No flowers.","Phool bhi chey.","Phool-flowers, bhi-also, chey- no/not there"
andhra_pradesh_eer_mai_ananthapur_jilla_sevagad_eer_mai_janmoch_keen_kache.wav,"Andhra Pradesh claims Sevagad in Anantapur district.","andhra pradesh eer mai","ananthapur jilla, sevagad eer mai janmoch keen kache,andhra pradesh eer mai-in andhra pradesh, ananthapur jilla - ananthapur district, sevagad eer mai-in sevagad,  janmoch-born, keen kache- is said so"
apner_jade.wav,"Our roots.","apner jade","apner-our, jade-roots"
apnevur_jungleevuun_japt_keede.wav,"Our forests were confiscated.","apnevur jungleevuun japt keede.","apnevur-our, jungleevuun-forest's, japt-confiscated/captured, keede-did."
eez_aapner_parampara_che.wav,"This is our legacy.","eez aapner parampara che.","ee-this, che-is, aapner-our, eez-this, aapner-our, parampara che - is legacy"
